account_id,signup_date,usage_events_30d,active_days_30d,features_used_30d,total_errors_30d,total_usage_time_30d,churn_date,early_churn,activation_level,high_usage,errors_per_active_day,churn_risk,high_risk
A-00bed1,2023-11-14,12.0,1,1,0.0,444.0,2024-01-03,True,low,False,0.0,0.23456963760937677,False
A-00cac8,2023-09-15,25.0,2,2,1.0,6365.0,,False,medium,True,0.5,0.3335084542061846,False
A-016043,2024-07-31,10.0,1,1,0.0,3070.0,2024-08-11,True,low,False,0.0,0.3321005105435221,False
A-0f6450,2024-12-27,120.0,6,11,6.0,41729.0,2024-12-29,True,high,True,1.0,0.9825086380261701,True
A-10b8f2,2023-01-11,8.0,1,1,1.0,3088.0,2024-06-04,False,low,False,1.0,0.24975948090150518,False
A-139c3b,2024-11-21,87.0,7,7,5.0,16503.0,,False,high,True,0.7142857142857143,0.2882298170283651,False
A-18793f,2024-12-18,171.0,7,11,4.0,54617.0,2024-12-30,True,high,True,0.5714285714285714,0.9979305537133422,True
A-1e50e0,2023-02-21,9.0,1,1,4.0,2331.0,2023-11-01,False,low,False,4.0,0.07922284270279781,False
A-1f7acb,2023-08-06,8.0,1,1,0.0,3776.0,,False,low,False,0.0,0.3615644329936495,False
A-313be3,2023-11-15,15.0,2,2,1.0,5478.0,2023-12-09,True,medium,False,0.5,0.2982096319521893,False
A-337bc1,2023-07-19,12.0,1,1,0.0,5844.0,2023-10-21,False,low,True,0.0,0.45327742458135406,True
A-354f12,2024-04-28,14.0,1,1,0.0,6286.0,2024-09-19,False,low,True,0.0,0.47353121577516344,True
A-378b99,2024-09-01,27.0,2,2,2.0,11295.0,2024-10-12,True,medium,True,1.0,0.5035022915961005,True
A-3a5ad8,2023-12-05,16.0,2,2,1.0,4800.0,,False,medium,False,0.5,0.27273366491566586,False
A-3b5cd1,2023-09-12,29.0,2,3,4.0,8487.0,2024-01-21,False,medium,True,2.0,0.28740255501406814,False
A-417d2f,2023-07-04,19.0,2,2,2.0,3529.0,2024-12-30,False,medium,False,1.0,0.19508434036509906,False
A-462d45,2024-01-15,30.0,3,3,2.0,3692.0,2024-05-17,False,medium,False,0.6666666666666666,0.16095833783297459,False
A-4bfa33,2024-12-07,129.0,8,12,10.0,35402.0,2024-12-08,True,high,True,1.25,0.876943263119501,True
A-4e960a,2024-01-17,9.0,1,1,0.0,4005.0,,False,low,False,0.0,0.37136285558790194,False
A-4f18f0,2024-04-21,26.0,3,3,0.0,8546.0,2024-05-27,True,medium,True,0.0,0.3806425994707853,False
A-5247b3,2024-03-12,12.0,1,1,0.0,5280.0,2024-10-12,False,low,False,0.0,0.42766474903024493,False
A-544d0a,2024-05-02,11.0,1,1,0.0,1177.0,,False,low,False,0.0,0.2596881642613244,False
A-5790f4,2024-12-22,122.0,7,9,8.0,36704.0,2024-12-25,True,high,True,1.1428571428571428,0.9337511352794658,True
A-5b4ebb,2024-07-10,29.0,2,2,0.0,6363.0,,False,medium,True,0.0,0.37978252782823113,False
A-659280,2023-11-17,30.0,3,3,3.0,11896.0,2024-07-23,False,medium,True,1.0,0.4319470045775005,False
A-66224b,2024-10-18,20.0,2,2,0.0,4764.0,,False,medium,False,0.0,0.31320550987722545,False
A-692f18,2024-03-28,18.0,2,2,4.0,8372.0,2024-12-23,False,medium,True,2.0,0.28308138050130505,False
A-6c093d,2023-04-14,10.0,1,1,0.0,1090.0,,False,low,False,0.0,0.25661741472386806,False
A-700ade,2024-10-31,77.0,7,7,3.0,24588.0,,False,high,True,0.4285714285714285,0.6685615814206105,True
A-7da956,2024-06-02,18.0,2,2,3.0,4923.0,,False,medium,False,1.5,0.20381150202837314,False
A-7f29a7,2024-09-18,71.0,5,4,4.0,21554.0,2024-10-09,True,high,True,0.8,0.6877527240595156,True
A-7f6b86,2023-08-24,11.0,1,1,0.0,4488.0,2024-07-10,False,low,False,0.0,0.39237137038759157,False
A-87aa7b,2024-05-16,38.0,4,4,4.0,14272.0,2024-06-07,True,medium,True,1.0,0.4415950530833945,True
A-8adedc,2024-02-11,66.0,3,7,6.0,18723.0,,False,medium,True,2.0,0.6410277137959687,True
A-9779ad,2024-03-29,9.0,1,1,0.0,3618.0,2024-04-17,True,low,False,0.0,0.3548699064567638,False
A-9badbd,2024-06-19,16.0,2,2,0.0,3908.0,,False,medium,False,0.0,0.2803066809983276,False
A-a2485e,2024-08-04,30.0,3,3,0.0,9538.0,,False,medium,True,0.0,0.4245821993029477,False
A-aa9511,2023-10-10,49.0,4,3,1.0,12003.0,2023-10-17,True,medium,True,0.25,0.4135048556923323,False
A-ac9111,2023-08-12,11.0,1,1,1.0,1386.0,2024-06-25,False,low,False,1.0,0.19566952562116238,False
A-af0cd2,2023-01-03,6.0,1,1,0.0,3024.0,2023-10-26,False,low,False,0.0,0.33022268198698107,False
A-afa505,2023-12-27,10.0,1,1,2.0,5940.0,2024-03-02,True,low,True,2.0,0.2731359699664381,False
A-b11cd0,2023-01-20,16.0,1,1,0.0,4240.0,,False,low,False,0.0,0.38152914216119277,False
A-b30291,2024-04-05,18.0,2,2,0.0,7856.0,2024-09-03,False,medium,True,0.0,0.44638107348796613,True
A-b48f73,2024-11-13,65.0,8,7,11.0,20729.0,,False,high,True,1.375,0.3119370489374663,False
A-b7ef83,2024-05-29,40.0,3,3,1.0,16811.0,2024-06-01,True,medium,True,0.3333333333333333,0.7112831209169195,True
A-bc4d48,2024-06-12,43.0,4,4,2.0,11711.0,,False,medium,True,0.5,0.37649770114027603,False
A-bd4513,2024-11-06,61.0,6,6,3.0,18896.0,2024-12-07,True,high,True,0.5,0.5056036791371351,True
A-bd4708,2024-07-21,11.0,1,1,0.0,3982.0,,False,low,False,0.0,0.37037378623690187,False
A-c16cf7,2024-10-16,155.0,8,12,2.0,37862.0,2024-11-08,True,high,True,0.25,0.9438372875126152,True
A-c37601,2024-10-31,64.0,5,5,0.0,20907.0,2024-12-17,True,high,True,0.0,0.729877027631568,True
A-c58f49,2024-07-31,12.0,1,1,0.0,7068.0,2024-08-27,True,low,True,0.0,0.5095369771202783,True
A-cab532,2023-04-03,20.0,1,1,0.0,600.0,2024-07-10,False,low,False,0.0,0.2397712357771399,False
A-cb6cc6,2023-04-03,6.0,1,1,1.0,114.0,,False,low,False,1.0,0.1613768110376259,False
A-cd458b,2024-06-15,13.0,1,1,0.0,3965.0,2024-11-07,False,low,False,0.0,0.3696434328127258,False
A-d42431,2024-06-09,26.0,3,3,1.0,5296.0,2024-06-26,True,medium,False,0.3333333333333333,0.2278218250942221,False
A-d535f6,2024-09-03,29.0,3,3,0.0,11290.0,2024-10-05,True,medium,True,0.0,0.5047278875937358,True
A-d77f4c,2023-09-25,6.0,1,1,0.0,102.0,2024-08-06,False,low,False,0.0,0.22344222829515098,False
A-de24d5,2024-11-05,47.0,6,6,1.0,17401.0,,False,high,True,0.1666666666666666,0.4704636496380105,True
A-e08cd3,2024-09-21,39.0,5,5,3.0,13330.0,2024-09-21,True,high,True,0.6,0.344074227355888,False
A-e98302,2023-12-26,12.0,1,1,0.0,1500.0,,False,low,False,0.0,0.2712955639200546,False
A-f03140,2023-11-22,8.0,1,1,0.0,2272.0,2024-10-03,False,low,False,0.0,0.30031976007379774,False
A-f17767,2023-01-30,8.0,1,1,2.0,56.0,2023-05-03,False,low,False,2.0,0.1127231686263931,False
A-f446b6,2023-05-12,8.0,1,1,1.0,3344.0,,False,low,False,1.0,0.25870441063918365,False
A-f9cc74,2024-10-12,51.0,6,6,3.0,13479.0,,False,high,True,0.5,0.27369292545362933,False
A-fa2041,2024-05-29,16.0,2,2,1.0,1288.0,2024-07-13,True,medium,False,0.5,0.16409393306025954,False
A-fce879,2024-09-24,43.0,4,5,10.0,19993.0,2024-10-07,True,medium,True,2.5,0.5530372430363484,True
A-fe79a5,2024-02-21,7.0,1,1,1.0,3290.0,,False,low,False,1.0,0.25680034664718615,False
